date,TT,P1,P2,P3,P4,P5,P6,P7,
24-Jan-20,1,0,0,1,0,0,0,0,
25-Jan-20,0,0,0,0,0,0,0,0,
26-Jan-20,0,0,0,0,0,0,0,0,
27-Jan-20,0,0,0,0,0,0,0,0,
28-Jan-20,0,0,0,0,0,0,0,0,
28-Jan-20,0,0,0,0,0,0,0,0,
29-Jan-20,0,0,0,0,0,0,0,0,
30-Jan-20,0,0,0,0,0,0,0,0,
31-Jan-20,0,0,0,0,0,0,0,0,
01-Feb-20,0,0,0,0,0,0,0,0,
02-Feb-20,0,0,0,0,0,0,0,0,
03-Feb-20,0,0,0,0,0,0,0,0,
04-Feb-20,0,0,0,0,0,0,0,0,
05-Feb-20,0,0,0,0,0,0,0,0,
06-Feb-20,0,0,0,0,0,0,0,0,
07-Feb-20,0,0,0,0,0,0,0,0,
08-Feb-20,0,0,0,0,0,0,0,0,
09-Feb-20,0,0,0,0,0,0,0,0,
10-Feb-20,0,0,0,0,0,0,0,0,
11-Feb-20,0,0,0,0,0,0,0,0,
12-Feb-20,0,0,0,0,0,0,0,0,
13-Feb-20,0,0,0,0,0,0,0,0,
14-Feb-20,0,0,0,0,0,0,0,0,
15-Feb-20,0,0,0,0,0,0,0,0,
16-Feb-20,0,0,0,0,0,0,0,0,
17-Feb-20,0,0,0,0,0,0,0,0,
18-Feb-20,0,0,0,0,0,0,0,0,
19-Feb-20,0,0,0,0,0,0,0,0,
20-Feb-20,0,0,0,0,0,0,0,0,
21-Feb-20,0,0,0,0,0,0,0,0,
22-Feb-20,0,0,0,0,0,0,0,0,
23-Feb-20,0,0,0,0,0,0,0,0,
24-Feb-20,0,0,0,0,0,0,0,0,
25-Feb-20,0,0,0,0,0,0,0,0,
26-Feb-20,0,0,0,0,0,0,0,0,
27-Feb-20,0,0,0,0,0,0,0,0,
28-Feb-20,0,0,0,0,0,0,0,0,
29-Feb-20,0,0,0,0,0,0,0,0,
01-Mar-20,0,0,0,0,0,0,0,0,
02-Mar-20,0,0,0,0,0,0,0,0,
03-Mar-20,0,0,0,0,0,0,0,0,
04-Mar-20,0,0,0,0,0,0,0,0,
05-Mar-20,0,0,0,0,0,0,0,0,
06-Mar-20,0,0,0,0,0,0,0,0,
07-Mar-20,0,0,0,0,0,0,0,0,
08-Mar-20,0,0,0,0,0,0,0,0,
09-Mar-20,0,0,0,0,0,0,0,0,
10-Mar-20,0,0,0,0,0,0,0,0,
11-Mar-20,0,0,0,0,0,0,0,0,
12-Mar-20,0,0,0,0,0,0,0,0,
13-Mar-20,0,0,0,0,0,0,0,0,
14-Mar-20,0,0,0,0,0,0,0,0,
15-Mar-20,0,0,0,0,0,0,0,0,
16-Mar-20,0,0,0,0,0,0,0,0,
17-Mar-20,0,0,0,0,0,0,0,0,
18-Mar-20,0,0,0,0,0,0,0,0,
19-Mar-20,0,0,0,0,0,0,0,0,
20-Mar-20,0,0,0,0,0,0,0,0,
21-Mar-20,0,0,0,0,0,0,0,0,
22-Mar-20,0,0,0,0,0,0,0,0,
23-Mar-20,1,0,0,1,0,0,0,0,
24-Mar-20,0,0,0,0,0,0,0,0,
25-Mar-20,1,0,0,1,0,0,0,0,
26-Mar-20,0,0,0,0,0,0,0,0,
27-Mar-20,1,0,0,0,0,0,0,1,
28-Mar-20,1,0,0,0,1,0,0,0,
29-Mar-20,0,0,0,0,0,0,0,0,
30-Mar-20,0,0,0,0,0,0,0,0,
31-Mar-20,0,0,0,0,0,0,0,0,
01-Apr-20,0,0,0,0,0,0,0,0,
02-Apr-20,1,0,0,0,1,0,0,0,
03-Apr-20,0,0,0,0,0,0,0,0,
04-Apr-20,3,0,0,0,0,0,0,3,
05-Apr-20,0,0,0,0,0,0,0,0,
06-Apr-20,0,0,0,0,0,0,0,0,
07-Apr-20,0,0,0,0,0,0,0,0,
08-Apr-20,0,0,0,0,0,0,0,0,
09-Apr-20,0,0,0,0,0,0,0,0,
10-Apr-20,0,0,0,0,0,0,0,0,
11-Apr-20,0,0,0,0,0,0,0,0,
12-Apr-20,3,0,3,0,0,0,0,0,
13-Apr-20,2,0,1,0,0,0,0,1,
14-Apr-20,2,0,0,2,0,0,0,0,
15-Apr-20,0,0,0,0,0,0,0,0,
16-Apr-20,0,0,0,0,0,0,0,0,
17-Apr-20,14,12,0,2,0,0,0,0,
18-Apr-20,1,1,0,0,0,0,0,0,
19-Apr-20,0,0,0,0,0,0,0,0,
20-Apr-20,0,0,0,0,0,0,0,0,
21-Apr-20,11,11,0,0,0,0,0,0,
22-Apr-20,3,3,0,0,0,0,0,0,
23-Apr-20,3,2,1,0,0,0,0,0,
24-Apr-20,1,1,0,0,0,0,0,0,
25-Apr-20,0,0,0,0,0,0,0,0,
26-Apr-20,3,1,2,0,0,0,0,0,
27-Apr-20,0,0,0,0,0,0,0,0,
28-Apr-20,2,0,2,0,0,0,0,0,
29-Apr-20,3,0,3,0,0,0,0,0,
30-Apr-20,0,0,0,0,0,0,0,0,
01-May-20,2,0,0,0,0,2,0,0,
02-May-20,0,0,0,0,0,0,0,0,
03-May-20,16,0,1,0,0,15,0,0,
